obsid,leadid,ccode,idacr,leader,startdate,enddate,entry,exit,exitcode,prevtimesinoffice,posttenurefate,gender,yrborn,yrdied,borndate,deathdate,dbpedia.uri,num.entry,num.exit,num.exitcode,num.posttenurefate,fties,ftcur
SWZ-1888-1,820df822-1e42-11e4-b4cd-db5882bf8def,225,SWZ,Hertenstein,1888-01-01,1888-11-27,Regular,Natural Death,Regular,0,Missing: Natural Death within Six Months of Losing Office,M,1825,1888,1825-03-05,1888-11-27,NA,0,2,0,-777,NA,NA
GMY-1858,82131e92-1e42-11e4-b4cd-db5882bf8def,255,GMY,Wilhelm I,1858-10-07,1888-03-09,Regular,Natural Death,Regular,0,Missing: Natural Death within Six Months of Losing Office,M,1797,1888,1797-03-22,1888-03-09,NA,0,2,0,-777,NA,NA
GMY-1888-1,82131e93-1e42-11e4-b4cd-db5882bf8def,255,GMY,Friedrich III,1888-03-09,1888-06-15,Regular,Regular,Regular,0,OK,M,1831,1888,NA,1888-06-15,NA,0,1,0,0,NA,NA
OFS-1873,823a3929-1e42-11e4-b4cd-db5882bf8def,564,OFS,Johannes Henricus Brand,1873-06-16,1888-07-14,Regular,Natural Death,Regular,0,Missing: Natural Death within Six Months of Losing Office,M,1823,1888,NA,1888-07-14,http://dbpedia.org/resource/Johannes_Brand,0,2,0,-777,NA,NA
OMA-1871,82426cee-1e42-11e4-b4cd-db5882bf8def,698,OMA,Turki ibn Sa`id,1871-01-30,1888-06-04,Irregular,Natural Death,Regular,0,Missing: Natural Death within Six Months of Losing Office,M,1832,1888,NA,1888-06-04,NA,1,2,0,-777,NA,NA
MEX-1872,81e39f70-1e42-11e4-b4cd-db5882bf8def,70,MEX,de Tejada,1872-07-19,1876-11-21,Regular,Irregular,Unknown,0,Exile,M,1825,1889,1825-04-25,1889-04-21,http://dbpedia.org/resource/Sebasti%C3%A1n_Lerdo_de_Tejada,0,3,-999,1,NA,NA
NIC-1887,81e8f6b4-1e42-11e4-b4cd-db5882bf8def,93,NIC,Carazo,1887-03-01,1889-08-01,Regular,Natural Death,Regular,0,Missing: Natural Death within Six Months of Losing Office,M,1821,1889,1821-10-24,NA,NA,0,2,0,-777,NA,NA
CHL-1881,82000b5e-1e42-11e4-b4cd-db5882bf8def,155,CHL,Santa Maria,1881-09-18,1886-09-18,Regular,Regular,Regular,0,OK,M,1825,1889,1825-08-04,NA,http://dbpedia.org/resource/Domingo_Santa_Mar%C3%ADa,0,1,0,0,NA,NA
URU-1882,8204d032-1e42-11e4-b4cd-db5882bf8def,165,URU,Maximo Santos,1882-03-01,1886-03-01,Irregular,Regular,Regular,0,OK,M,1847,1889,NA,NA,NA,1,1,0,0,NA,NA
URU-1886-2,8204d032-1e42-11e4-b4cd-db5882bf8def,165,URU,Maximo Santos,1886-05-24,1886-11-18,Regular,Regular,Regular,1,Exile,M,1847,1889,NA,NA,NA,0,1,0,1,NA,NA
