obsid,leadid,ccode,idacr,leader,startdate,enddate,entry,exit,exitcode,prevtimesinoffice,posttenurefate,gender,yrborn,yrdied,borndate,deathdate,dbpedia.uri,num.entry,num.exit,num.exitcode,num.posttenurefate,fties,ftcur
NIC-1893,81e8f6b6-1e42-11e4-b4cd-db5882bf8def,93,NIC,Zelaya,1893-07-31,1909-12-16,Irregular,Irregular,Unknown,0,Exile,M,1853,1919,1853-10-31,NA,NA,1,3,-999,1,NA,NA
VEN-1974,81f6201e-1e42-11e4-b4cd-db5882bf8def,101,VEN,Andres Perez,1974-03-12,1979-03-12,Regular,Regular,Regular,0,OK,M,1922,-777,1922-10-27,NA,http://dbpedia.org/resource/Carlos_Andr%C3%A9s_P%C3%A9rez,0,1,0,0,NA,NA
BRA-1902,81fb15c2-1e42-11e4-b4cd-db5882bf8def,140,BRA,Rodriguez Alves,1902-11-15,1906-11-15,Regular,Regular,Regular,0,OK,M,1848,1919,1848-07-07,NA,http://dbpedia.org/resource/Francisco_de_Paula_Rodrigues_Alves,0,1,0,0,NA,NA
VEN-1984,81f650f0-1e42-11e4-b4cd-db5882bf8def,101,VEN,Lusinchi,1984-02-02,1989-02-02,Regular,Regular,Regular,0,OK,M,1924,-777,1924-04-27,NA,NA,0,1,0,0,NA,NA
PAR-1916,81ff173f-1e42-11e4-b4cd-db5882bf8def,150,PAR,Manuel Franco,1916-08-15,1919-06-05,Regular,Natural Death,Regular,0,Missing: Natural Death within Six Months of Losing Office,M,1871,1919,NA,1919-06-05,NA,0,2,0,-777,NA,NA
VEN-1993,81f650f1-1e42-11e4-b4cd-db5882bf8def,101,VEN,Velasquez,1993-08-31,1994-02-02,Regular,Regular,Regular,0,OK,M,1916,-777,1916-11-28,2014-06-24,NA,0,1,0,0,NA,NA
VEN-1994,81f6201d-1e42-11e4-b4cd-db5882bf8def,101,VEN,Caldera Rodriguez,1994-02-02,1999-02-02,Regular,Regular,Regular,1,OK,M,1916,-777,1916-01-24,2009-12-24,NA,0,1,0,0,NA,NA
VEN-1999,81f650f2-1e42-11e4-b4cd-db5882bf8def,101,VEN,Hugo Chavez,1999-02-02,2012-03-05,Regular,Natural Death,Regular,0,Missing: Natural Death within Six Months of Losing Office,M,1954,-777,1954-07-28,NA,http://dbpedia.org/resource/Hugo_Ch%C3%A1vez,0,2,0,-777,NA,NA
VEN-2012,2b37a452-3481-11e4-8dba-bbcd9ed46413,101,VEN,Maduro,2012-03-05,2015-12-31,Regular,Still in Office,Still in Office,0,Leader Still in Office,M,1962,-777,1962-11-23,NA,NA,0,-888,-888,-888,NA,NA
CHL-1911,82006d10-1e42-11e4-b4cd-db5882bf8def,155,CHL,Lucco,1911-09-18,1915-12-23,Regular,Regular,Regular,0,OK,M,1835,1919,NA,NA,http://dbpedia.org/resource/Ram%C3%B3n_Barros_Luco,0,1,0,0,NA,NA
ARG-1913,82028637-1e42-11e4-b4cd-db5882bf8def,160,ARG,de la Plaza,1913-10-06,1916-10-12,Regular,Regular,Regular,0,OK,M,1840,1919,1840-11-02,NA,http://dbpedia.org/resource/Victorino_de_la_Plaza,0,1,0,0,NA,NA
NTH-1905,8209027e-1e42-11e4-b4cd-db5882bf8def,210,NTH,de Meester,1905-08-16,1908-02-11,Regular,Regular,Regular,0,OK,M,1851,1919,1851-12-16,NA,NA,0,1,0,0,NA,NA
GUY-1997-1,81f681c5-1e42-11e4-b4cd-db5882bf8def,110,GUY,Samuel Hinds,1997-03-06,1997-12-19,Regular,Regular,Regular,0,OK,M,1943,-777,1943-12-27,NA,http://dbpedia.org/resource/Sam_Hinds,0,1,0,0,NA,NA
SWZ-1898,820e28f6-1e42-11e4-b4cd-db5882bf8def,225,SWZ,Ruffy,1898-01-01,1898-12-31,Regular,Regular,Regular,0,OK,M,1854,1919,1854-08-02,NA,NA,0,1,0,0,NA,NA
GUY-1999,81f681c7-1e42-11e4-b4cd-db5882bf8def,110,GUY,Bharrat Jagdeo,1999-08-11,2011-12-03,Regular,Regular,Regular,0,OK,M,1964,-777,1964-01-23,NA,http://dbpedia.org/resource/Bharrat_Jagdeo,0,1,0,0,NA,NA
GUY-2011,82508a87-1e42-11e4-b4cd-db5882bf8def,110,GUY,Ramotar,2011-12-03,2015-05-16,Regular,Regular,Regular,0,Missing: Left Office after 2014-12-31,M,1950,-777,1950-10-22,NA,NA,0,1,0,-999,NA,NA
GUY-2015,0edc9d91-df39-11e5-ba44-bb6d7c1a9a58,110,GUY,David Granger,2015-05-16,2015-12-31,Regular,Still in Office,Still in Office,0,Leader Still in Office,M,1945,-777,1950-10-22,NA,NA,0,-888,-888,-888,NA,NA
SUR-1975,81f681c8-1e42-11e4-b4cd-db5882bf8def,115,SUR,Ferrier,1975-11-25,1980-08-13,Regular,Irregular,"Removed by Military, without Foreign Support",0,Exile,M,1910,-777,1910-05-12,2010-01-04,http://dbpedia.org/resource/Johan_Ferrier,0,3,6,1,NA,NA
SUR-1980,81f6b2a2-1e42-11e4-b4cd-db5882bf8def,115,SUR,Bouterse,1980-08-13,1988-01-25,Irregular,Regular,Regular,0,OK,M,1946,-777,NA,NA,NA,1,1,0,0,NA,NA
SUR-1988,81f6b2a3-1e42-11e4-b4cd-db5882bf8def,115,SUR,Shankar,1988-01-25,1990-12-24,Regular,Irregular,"Removed by Military, without Foreign Support",0,OK,M,1937,-777,NA,NA,NA,0,3,6,0,NA,NA
SUR-1990-1,81f6b2a4-1e42-11e4-b4cd-db5882bf8def,115,SUR,Graanoogst,1990-12-24,1990-12-29,Irregular,Regular,Regular,0,OK,M,1937,-777,NA,NA,NA,1,1,0,0,NA,NA
SWZ-1899,820e28f7-1e42-11e4-b4cd-db5882bf8def,225,SWZ,Muller,1899-01-01,1899-12-31,Regular,Regular,Regular,0,OK,M,1848,1919,1848-11-12,NA,NA,0,1,0,0,NA,NA
SUR-1991,81f6b2a6-1e42-11e4-b4cd-db5882bf8def,115,SUR,Venetiaan,1991-09-16,1996-09-15,Regular,Regular,Regular,0,OK,M,1936,-777,NA,NA,NA,0,1,0,0,NA,NA
SUR-1996,81f6e376-1e42-11e4-b4cd-db5882bf8def,115,SUR,Wijdenbosch,1996-09-15,2000-08-12,Regular,Regular,Regular,0,OK,M,1941,-777,NA,NA,NA,0,1,0,0,NA,NA
SUR-2000,81f6b2a6-1e42-11e4-b4cd-db5882bf8def,115,SUR,Venetiaan,2000-08-12,2010-08-12,Regular,Regular,Regular,1,OK,M,1936,-777,NA,NA,NA,0,1,0,0,NA,NA
SUR-2010,81f6b2a2-1e42-11e4-b4cd-db5882bf8def,115,SUR,Bouterse,2010-08-12,2015-12-31,Regular,Still in Office,Still in Office,1,Leader Still in Office,M,1945,-777,1945-10-13,NA,NA,0,-888,-888,-888,NA,NA
SWZ-1907,820e28f7-1e42-11e4-b4cd-db5882bf8def,225,SWZ,Muller,1907-01-01,1907-12-31,Regular,Regular,Regular,1,OK,M,1848,1919,1848-11-12,NA,NA,0,1,0,0,NA,NA
SWZ-1913,820e28f7-1e42-11e4-b4cd-db5882bf8def,225,SWZ,Muller,1913-01-01,1913-12-31,Regular,Regular,Regular,2,OK,M,1848,1919,1848-11-12,NA,NA,0,1,0,0,NA,NA
ALB-1912,8219fc8c-1e42-11e4-b4cd-db5882bf8def,339,ALB,Ismail Qemali Bej,1912-11-29,1914-01-22,Irregular,Irregular,Unknown,0,Exile,M,1844,1919,NA,NA,NA,1,3,-999,1,NA,NA
SAF-1910,1978b1c8-3bbd-11e5-afeb-eb6f07f9fec7,560,SAF,Louis Botha,1910-05-31,1919-08-27,Regular,Natural Death,Regular,1,Missing: Natural Death within Six Months of Losing Office,M,1862,1919,1862-09-27,1919-08-27,http://dbpedia.org/resource/Louis_Botha,0,2,0,-777,NA,NA
TRA-1907,823a3928-1e42-11e4-b4cd-db5882bf8def,563,TRA,Louis Botha,1907-02-04,1910-05-31,Regular,Regular,Regular,0,OK,M,1862,1919,1862-09-27,1919-08-27,http://dbpedia.org/resource/Louis_Botha,0,1,0,0,NA,NA
AFG-1901,8242ce94-1e42-11e4-b4cd-db5882bf8def,700,AFG,Habibullah Khan,1901-10-03,1919-02-20,Regular,Irregular,Assassination by Unsupported Individual,0,Death,M,1872,1919,1872-07-03,1919-02-20,http://dbpedia.org/resource/Habibullah_Khan,0,3,11,3,NA,NA
CHN-1917,8243f397-1e42-11e4-b4cd-db5882bf8def,710,CHN,Feng Kuo-chang,1917-08-14,1918-09-04,Irregular,Regular,Regular,0,OK,M,1859,1919,1859-01-07,NA,NA,1,1,0,0,NA,NA
KOR-1873,8245189b-1e42-11e4-b4cd-db5882bf8def,730,KOR,Yi Hyong,1873-12-22,1907-07-20,Regular,Foreign,Unknown,0,Exile,M,1852,1919,NA,NA,NA,0,4,-999,1,NA,NA
JPN-1916,8245dbeb-1e42-11e4-b4cd-db5882bf8def,740,JPN,Terauchi,1916-10-09,1918-09-29,Regular,Regular,Regular,0,OK,M,1852,1919,NA,NA,http://dbpedia.org/resource/Terauchi_Masatake,0,1,0,0,NA,NA
AUL-1903,824d4c5d-1e42-11e4-b4cd-db5882bf8def,900,AUL,Alfred Deakin,1903-09-24,1904-04-26,Regular,Regular,Regular,0,OK,M,1856,1919,1856-08-03,1919-10-07,http://dbpedia.org/resource/Alfred_Deakin,0,1,0,0,NA,NA
AUL-1905,824d4c5d-1e42-11e4-b4cd-db5882bf8def,900,AUL,Alfred Deakin,1905-07-05,1908-11-13,Regular,Regular,Regular,1,OK,M,1856,1919,1856-08-03,1919-10-07,http://dbpedia.org/resource/Alfred_Deakin,0,1,0,0,NA,NA
AUL-1909,824d4c5d-1e42-11e4-b4cd-db5882bf8def,900,AUL,Alfred Deakin,1909-06-02,1910-04-29,Regular,Regular,Regular,2,OK,M,1856,1919,1856-08-03,1919-10-07,http://dbpedia.org/resource/Alfred_Deakin,0,1,0,0,NA,NA
DOM-1876-1,81e0c2f2-1e42-11e4-b4cd-db5882bf8def,42,DOM,Villanueva,1876-02-24,1876-03-03,Irregular,Irregular,"Removed by Military, without Foreign Support",0,Exile,M,-999,1920,NA,NA,NA,1,3,6,1,NA,NA
MEX-1915,81e3d044-1e42-11e4-b4cd-db5882bf8def,70,MEX,Carranza,1915-10-19,1920-05-06,Irregular,Irregular,"Removed by Rebels, without Foreign Support",0,Death,M,1859,1920,1859-12-29,1920-05-21,http://dbpedia.org/resource/Venustiano_Carranza,1,3,4,3,NA,NA
PAN-1910-2,81ecf82b-1e42-11e4-b4cd-db5882bf8def,95,PAN,Pablo Arosemena Alba,1910-10-01,1912-02-02,Regular,Regular,Regular,0,OK,M,1836,1920,1836-09-24,NA,NA,0,1,0,0,NA,NA
PAN-1912-2,81ecf82b-1e42-11e4-b4cd-db5882bf8def,95,PAN,Pablo Arosemena Alba,1912-03-08,1912-10-01,Regular,Regular,Regular,1,OK,M,1836,1920,1836-09-24,NA,NA,0,1,0,0,NA,NA
BRA-1918,81fb776a-1e42-11e4-b4cd-db5882bf8def,140,BRA,da Costa Ribeiro,1918-11-15,1919-07-28,Regular,Regular,Regular,0,OK,M,1868,1920,1868-11-07,1920-07-01,http://dbpedia.org/resource/Delfim_Moreira,0,1,0,0,NA,NA
PAR-1906,81fee66a-1e42-11e4-b4cd-db5882bf8def,150,PAR,Ferreira,1906-11-25,1908-07-04,Irregular,Irregular,Unknown,0,Exile,M,1840,1920,1840-02-18,NA,NA,1,3,-999,1,NA,NA
NTH-1901,8209027d-1e42-11e4-b4cd-db5882bf8def,210,NTH,Kuyper,1901-08-01,1905-08-16,Regular,Regular,Regular,0,OK,M,1837,1920,1837-10-29,NA,http://dbpedia.org/resource/Abraham_Kuyper,0,1,0,0,NA,NA
ALB-1914-3,821a2d5f-1e42-11e4-b4cd-db5882bf8def,339,ALB,Esat Pashe Toptani,1914-10-05,1916-02-24,Irregular,Foreign,Unknown,0,Exile,M,1863,1920,NA,NA,NA,1,4,-999,1,NA,NA
OFS-1907-1,823a69fd-1e42-11e4-b4cd-db5882bf8def,564,OFS,Hamilton John Goold-Adams,1907-06-07,1907-11-27,Regular,Regular,Regular,0,OK,M,1858,1920,NA,NA,NA,0,1,0,0,NA,NA
AUL-1901,824d4c5c-1e42-11e4-b4cd-db5882bf8def,900,AUL,Edmund Barton,1901-01-01,1903-09-24,Regular,Regular,Regular,0,OK,M,1849,1920,1849-01-18,1920-01-07,http://dbpedia.org/resource/Edmund_Barton,0,1,0,0,NA,NA
CUB-1909,81deda9f-1e42-11e4-b4cd-db5882bf8def,40,CUB,Gomez,1909-01-28,1913-05-20,Regular,Regular,Regular,0,OK,M,1858,1921,1858-07-06,NA,http://dbpedia.org/resource/Jos%C3%A9_Miguel_G%C3%B3mez,0,1,0,0,Father of Gomez y Arias%81df3c45-1e42-11e4-b4cd-db5882bf8def,0
HON-1915,81e6acbb-1e42-11e4-b4cd-db5882bf8def,91,HON,Alberto Membreno,1915-07-28,1916-02-01,Regular,Regular,Regular,0,OK,M,1858,1921,NA,1921-02-06,NA,0,1,0,0,NA,NA
SAL-1894,81e7a0e9-1e42-11e4-b4cd-db5882bf8def,92,SAL,Guttierez,1894-06-10,1898-11-14,Irregular,Irregular,Unknown,0,Exile,M,1861,1921,NA,NA,NA,1,3,-999,1,NA,NA
COL-1904,81f3d623-1e42-11e4-b4cd-db5882bf8def,100,COL,Reyes Prieto,1904-08-07,1909-07-08,Regular,Regular,Regular,0,Exile,M,1849,1921,1849-12-05,1921-02-19,NA,0,1,0,1,NA,NA
PER-1894-1,81f8fc9e-1e42-11e4-b4cd-db5882bf8def,135,PER,Borgono,1894-04-01,1894-08-10,Irregular,Regular,Regular,0,OK,M,1836,1921,NA,NA,NA,1,1,0,0,NA,NA
FRN-1902,820c0fd3-1e42-11e4-b4cd-db5882bf8def,220,FRN,Combes,1902-06-07,1905-01-19,Regular,Regular,Regular,0,OK,M,1835,1921,NA,NA,http://dbpedia.org/resource/%C3%89mile_Combes,0,1,0,0,NA,NA
SWZ-1906,820e59ca-1e42-11e4-b4cd-db5882bf8def,225,SWZ,Forrer,1906-01-01,1906-12-31,Regular,Regular,Regular,0,OK,M,1845,1921,1845-02-09,NA,NA,0,1,0,0,NA,NA
SWZ-1912,820e59ca-1e42-11e4-b4cd-db5882bf8def,225,SWZ,Forrer,1912-01-01,1912-12-31,Regular,Regular,Regular,1,OK,M,1845,1921,1845-02-09,NA,NA,0,1,0,0,NA,NA
SPN-1913,8211671e-1e42-11e4-b4cd-db5882bf8def,230,SPN,Dato y Iradier,1913-10-27,1915-12-09,Regular,Regular,Regular,0,OK,M,1856,1921,1856-08-12,NA,NA,0,1,0,0,NA,NA
SPN-1917-2,8211671e-1e42-11e4-b4cd-db5882bf8def,230,SPN,Dato y Iradier,1917-06-11,1917-11-03,Regular,Regular,Regular,1,OK,M,1856,1921,1856-08-12,NA,NA,0,1,0,0,NA,NA
SPN-1920,8211671e-1e42-11e4-b4cd-db5882bf8def,230,SPN,Dato y Iradier,1920-05-05,1921-03-08,Regular,Irregular,Assassination by Unsupported Individual,2,Death,M,1856,1921,1856-08-12,NA,NA,0,3,11,3,NA,NA
SER-1903,821af0b8-1e42-11e4-b4cd-db5882bf8def,340,SER,Peter I,1903-06-15,1914-06-24,Irregular,Retired Due to Ill Health,Regular,0,OK,M,1844,1921,NA,NA,NA,1,2.1,0,0,NA,NA
MNG-1860,821af0ba-1e42-11e4-b4cd-db5882bf8def,341,MNG,Nikola I Petrovic-Njegos,1860-08-13,1917-01-17,Regular,Foreign,Unknown,0,Exile,M,1841,1921,NA,NA,NA,0,4,-999,1,NA,NA
GRC-1920-1,35bf76c8-3bbd-11e5-afeb-eb6f07f9fec7,350,GRC,Dimitrios Rallis,1920-11-18,1920-12-11,Regular,Retired Due to Ill Health,Regular,0,OK,M,1844,1921,NA,NA,NA,0,2.1,0,0,Grandfather of A. Papandreou%821e2ed9-1e42-11e4-b4cd-db5882bf8def,0
JPN-1918,8245dbec-1e42-11e4-b4cd-db5882bf8def,740,JPN,"Hara, T.",1918-09-29,1921-11-04,Regular,Irregular,Assassination by Unsupported Individual,0,Death,M,1856,1921,1856-02-09,NA,http://dbpedia.org/resource/Hara_Takashi,0,3,11,3,NA,NA
PAN-1918-1,81f1edd0-1e42-11e4-b4cd-db5882bf8def,95,PAN,Ciro Luis Urriola,1918-06-03,1918-10-01,Regular,Regular,Regular,0,OK,M,1863,1922,NA,NA,NA,0,1,0,0,NA,NA
PAN-1920-1,81f1edd1-1e42-11e4-b4cd-db5882bf8def,95,PAN,Ernesto Lefevre,1920-01-30,1920-10-01,Regular,Regular,Regular,0,OK,M,1876,1922,NA,NA,NA,0,1,0,0,NA,NA
ECU-1944-1,19724928-3bbd-11e5-afeb-eb6f07f9fec7,130,ECU,Navarro Allende,1944-05-29,1944-05-30,Regular,Irregular,"Removed by Military, without Foreign Support",1,Imprisonment,M,-999,-999,NA,NA,NA,0,3,6,2,NA,NA
PER-1904-1,81f92d72-1e42-11e4-b4cd-db5882bf8def,135,PER,Serapio Calderon,1904-05-07,1904-09-24,Regular,Regular,Regular,0,OK,M,1843,1922,NA,NA,NA,0,1,0,0,NA,NA
PAR-1911-2,81ff173c-1e42-11e4-b4cd-db5882bf8def,150,PAR,Rojas,1911-07-05,1912-03-01,Regular,Irregular,Unknown,0,Exile,M,1870,1922,NA,NA,NA,0,3,-999,1,NA,NA
CHL-1891,82000b60-1e42-11e4-b4cd-db5882bf8def,155,CHL,J. Montt-Alvarez,1891-08-31,1896-09-18,Irregular,Regular,Regular,0,OK,M,1845,1922,NA,NA,http://dbpedia.org/resource/Jorge_Montt,1,1,0,0,NA,NA
IRE-1922-1,8207dd85-1e42-11e4-b4cd-db5882bf8def,205,IRE,Griffith,1922-01-10,1922-08-12,Regular,Natural Death,Regular,0,Missing: Natural Death within Six Months of Losing Office,M,1872,1922,1872-03-31,1922-08-12,http://dbpedia.org/resource/Arthur_Griffith,0,2,0,-777,NA,NA
IRE-1922-2,8207dd86-1e42-11e4-b4cd-db5882bf8def,205,IRE,Collins,1922-08-12,1922-08-22,Regular,Irregular,"Removed by Rebels, without Foreign Support",0,Death,M,1890,1922,1890-10-16,1922-08-22,NA,0,3,4,3,NA,NA
SWZ-1894,820df824-1e42-11e4-b4cd-db5882bf8def,225,SWZ,Frey,1894-01-01,1894-12-31,Regular,Regular,Regular,0,OK,M,1838,1922,1838-10-24,NA,NA,0,1,0,0,NA,NA
SWZ-1904,820e28f9-1e42-11e4-b4cd-db5882bf8def,225,SWZ,Comtesse,1904-01-01,1904-12-31,Regular,Regular,Regular,0,OK,M,1847,1922,1847-08-14,NA,NA,0,1,0,0,NA,NA
SWZ-1910,820e28f9-1e42-11e4-b4cd-db5882bf8def,225,SWZ,Comtesse,1910-01-01,1910-12-31,Regular,Regular,Regular,1,OK,M,1847,1922,1847-08-14,NA,NA,0,1,0,0,NA,NA
POL-1922-1,8214746c-1e42-11e4-b4cd-db5882bf8def,290,POL,Narutowicz,1922-12-09,1922-12-18,Regular,Irregular,Assassination by Unsupported Individual,0,Death,M,1865,1922,1865-03-17,1922-12-16,http://dbpedia.org/resource/Gabriel_Narutowicz,0,3,11,3,NA,NA
AUH-1916,82156897-1e42-11e4-b4cd-db5882bf8def,300,AUH,Karl,1916-11-21,1918-11-11,Regular,Irregular,"Popular Protest, with Foreign Support",0,Exile,M,1887,1922,1887-08-17,1922-04-01,http://dbpedia.org/resource/Charles_I_of_Austria,0,3,1,1,NA,NA
AUS-1920,8215996b-1e42-11e4-b4cd-db5882bf8def,305,AUS,Mayr,1920-07-07,1921-06-01,Regular,Regular,Regular,0,OK,M,1864,1922,NA,NA,NA,0,1,0,0,NA,NA
ITA-1906-1,8218a6b8-1e42-11e4-b4cd-db5882bf8def,325,ITA,Sonnino,1906-02-08,1906-05-17,Regular,Regular,Regular,0,OK,M,1847,1922,1847-03-11,1922-11-24,http://dbpedia.org/resource/Sidney_Sonnino,0,1,0,0,NA,NA
ITA-1909,8218a6b8-1e42-11e4-b4cd-db5882bf8def,325,ITA,Sonnino,1909-12-10,1910-03-21,Regular,Regular,Regular,1,OK,M,1847,1922,1847-03-11,1922-11-24,http://dbpedia.org/resource/Sidney_Sonnino,0,1,0,0,NA,NA
NOR-1907,822600f4-1e42-11e4-b4cd-db5882bf8def,385,NOR,Lovland,1907-10-28,1908-03-13,Regular,Regular,Regular,0,OK,M,1857,1922,1857-02-03,NA,NA,0,1,0,0,NA,NA
ECU-1972,81f83945-1e42-11e4-b4cd-db5882bf8def,130,ECU,Rodriguez Lara,1972-02-15,1976-01-11,Irregular,Irregular,"Removed by Military, without Foreign Support",0,OK,M,1923,-777,1923-11-04,NA,NA,1,3,6,0,NA,NA
TUR-1913,823d159f-1e42-11e4-b4cd-db5882bf8def,640,TUR,Enver Pasha,1913-01-23,1918-10-08,Irregular,Irregular,Unknown,0,Exile,M,1881,1922,1881-11-22,1922-08-04,NA,1,3,-999,1,NA,NA
MON-1921-1,82448615-1e42-11e4-b4cd-db5882bf8def,712,MON,Chagdarjav,1921-03-13,1921-04-16,Foreign Imposition,Regular,Regular,0,OK,M,1880,1922,NA,1922-08-31,NA,2,1,0,0,NA,NA
ECU-1981,81f86a16-1e42-11e4-b4cd-db5882bf8def,130,ECU,Hurtado Larrea,1981-05-24,1984-08-10,Regular,Regular,Regular,0,OK,M,1940,-777,NA,NA,NA,0,1,0,0,NA,NA
MON-1921-2,82448616-1e42-11e4-b4cd-db5882bf8def,712,MON,Dogsomyn Bodo,1921-04-16,1922-01-07,Regular,Regular,Regular,0,Death,M,1895,1922,NA,1922-08-31,NA,0,1,0,3,NA,NA
ECU-1988,81f86a18-1e42-11e4-b4cd-db5882bf8def,130,ECU,Borja Cevallos,1988-08-10,1992-08-10,Regular,Regular,Regular,0,OK,M,1935,-777,1935-06-19,NA,http://dbpedia.org/resource/Rodrigo_Borja_Cevallos,0,1,0,0,NA,NA
ECU-1992,81f86a19-1e42-11e4-b4cd-db5882bf8def,130,ECU,Duran Ballen,1992-08-10,1996-08-10,Regular,Regular,Regular,0,OK,M,1921,-777,1921-07-14,NA,http://dbpedia.org/resource/Sixto_Dur%C3%A1n_Ball%C3%A9n,0,1,0,0,NA,NA
ECU-1996,81f86a1a-1e42-11e4-b4cd-db5882bf8def,130,ECU,Bucaram Ortiz,1996-08-10,1997-02-06,Regular,Regular,Regular,0,Exile,M,1952,-777,1952-02-20,NA,NA,0,1,0,1,NA,NA
ECU-1997-1,81f89af4-1e42-11e4-b4cd-db5882bf8def,130,ECU,Alarcon Fabian,1997-02-06,1997-02-09,Regular,Regular,Regular,0,OK,M,1947,-777,1947-04-14,NA,http://dbpedia.org/resource/Fabi%C3%A1n_Alarc%C3%B3n,0,1,0,0,NA,NA
ECU-1997-2,81f89af5-1e42-11e4-b4cd-db5882bf8def,130,ECU,Rosalia Arteaga Serrano,1997-02-09,1997-02-11,Regular,Regular,Regular,0,OK,F,1956,-777,NA,NA,NA,0,1,0,0,NA,NA
ECU-1997-3,81f89af4-1e42-11e4-b4cd-db5882bf8def,130,ECU,Alarcon Fabian,1997-02-11,1998-08-10,Regular,Regular,Regular,1,OK,M,1947,-777,1947-04-14,NA,http://dbpedia.org/resource/Fabi%C3%A1n_Alarc%C3%B3n,0,1,0,0,NA,NA
ECU-1998,81f89af6-1e42-11e4-b4cd-db5882bf8def,130,ECU,Mahuad,1998-08-10,2000-01-21,Regular,Irregular,"Popular Protest, without Foreign Support",0,Exile,M,1949,-777,1949-07-29,NA,http://dbpedia.org/resource/Jamil_Mahuad,0,3,2,1,NA,NA
ECU-2000,81f89af7-1e42-11e4-b4cd-db5882bf8def,130,ECU,Gustavo Noboa,2000-01-22,2003-01-15,Irregular,Regular,Regular,0,Exile,M,1937,-777,NA,NA,NA,1,1,0,1,NA,NA
ECU-2003,81f89af8-1e42-11e4-b4cd-db5882bf8def,130,ECU,Lucio Gutierrez,2003-01-15,2005-04-20,Regular,Regular,Regular,0,Imprisonment,M,1957,-777,NA,NA,NA,0,1,0,2,NA,NA
ECU-2005,82508a88-1e42-11e4-b4cd-db5882bf8def,130,ECU,Alfredo Palacio,2005-04-20,2007-01-15,Regular,Regular,Regular,0,OK,M,1939,-777,NA,NA,NA,0,1,0,0,NA,NA
ECU-2007,82508a89-1e42-11e4-b4cd-db5882bf8def,130,ECU,Rafael Correa,2007-01-15,2015-12-31,Regular,Still in Office,Still in Office,0,Leader Still in Office,M,1963,-777,1963-04-06,NA,NA,0,-888,-888,-888,NA,NA
JPN-1889,8245ab18-1e42-11e4-b4cd-db5882bf8def,740,JPN,Yamagata,1889-12-24,1891-05-06,Regular,Regular,Regular,0,OK,M,1838,1922,1838-04-22,NA,http://dbpedia.org/resource/Yamagata_Aritomo,0,1,0,0,NA,NA
JPN-1898-2,8245ab1a-1e42-11e4-b4cd-db5882bf8def,740,JPN,Okuma,1898-06-30,1898-10-31,Regular,Regular,Regular,0,OK,M,1838,1922,NA,NA,http://dbpedia.org/resource/%C5%8Ckuma_Shigenobu,0,1,0,0,NA,NA
JPN-1898-3,8245ab18-1e42-11e4-b4cd-db5882bf8def,740,JPN,Yamagata,1898-11-07,1900-10-19,Regular,Regular,Regular,1,OK,M,1838,1922,1838-04-22,NA,http://dbpedia.org/resource/Yamagata_Aritomo,0,1,0,0,NA,NA
JPN-1914,8245ab1a-1e42-11e4-b4cd-db5882bf8def,740,JPN,Okuma,1914-04-16,1916-10-09,Regular,Regular,Regular,1,OK,M,1838,1922,NA,NA,http://dbpedia.org/resource/%C5%8Ckuma_Shigenobu,0,1,0,0,NA,NA
USA-1921,81dd2321-1e42-11e4-b4cd-db5882bf8def,2,USA,Harding,1921-03-04,1923-08-03,Regular,Natural Death,Regular,0,Missing: Natural Death within Six Months of Losing Office,M,1865,1923,NA,NA,http://dbpedia.org/resource/Warren_G._Harding,0,2,0,-777,NA,NA
HAI-1908,81dfceca-1e42-11e4-b4cd-db5882bf8def,41,HAI,A. Simon,1908-12-20,1911-08-03,Irregular,Irregular,Unknown,0,Exile,M,1844,1923,NA,NA,NA,1,3,-999,1,NA,NA
SAL-1903,81e7d1ba-1e42-11e4-b4cd-db5882bf8def,92,SAL,Escalon,1903-03-01,1907-02-28,Regular,Regular,Regular,0,Missing: No Information Found,M,1847,1923,NA,NA,NA,0,1,0,-666,NA,NA
NIC-1921,81e95864-1e42-11e4-b4cd-db5882bf8def,93,NIC,Diego Chamorro,1921-01-01,1923-10-12,Regular,Natural Death,Regular,0,Missing: Natural Death within Six Months of Losing Office,M,1861,1923,NA,NA,NA,0,2,0,-777,Son of Chamorro%81e8c5e3-1e42-11e4-b4cd-db5882bf8def,1
PER-1885,81f8fc9c-1e42-11e4-b4cd-db5882bf8def,135,PER,Caceres,1885-11-30,1890-08-10,Irregular,Regular,Regular,0,OK,M,1833,1923,NA,NA,http://dbpedia.org/resource/Andr%C3%A9s_Avelino_C%C3%A1ceres,1,1,0,0,NA,NA
PER-1894-2,81f8fc9c-1e42-11e4-b4cd-db5882bf8def,135,PER,Caceres,1894-08-10,1895-03-19,Regular,Irregular,Unknown,1,Exile,M,1833,1923,NA,NA,http://dbpedia.org/resource/Andr%C3%A9s_Avelino_C%C3%A1ceres,0,3,-999,1,NA,NA
BRA-1910,81fb4696-1e42-11e4-b4cd-db5882bf8def,140,BRA,H. R. da Fonseca,1910-11-15,1914-11-15,Regular,Regular,Regular,0,OK,M,1885,1923,1885-05-12,NA,NA,0,1,0,0,Nephew of M. D. da Fonseca%81fab41c-1e42-11e4-b4cd-db5882bf8def,1
